,comment,corridorCode,productIdentification,productHour,offeredCapacity,requestedCapacity,allocatedCapacity,auctionPrice,additionalMessage,datetime
251,,PL-UA,B12-------,11:00-12:00,82.0,169.0,81.0,0.1,,2024-04-15 11:00:00
252,,PL-UA,B13-------,12:00-13:00,82.0,169.0,81.0,0.1,,2024-04-15 12:00:00
253,,PL-UA,B14-------,13:00-14:00,82.0,169.0,81.0,0.1,,2024-04-15 13:00:00
254,,PL-UA,B15-------,14:00-15:00,82.0,169.0,81.0,0.1,,2024-04-15 14:00:00
255,,PL-UA,B16-------,15:00-16:00,119.0,243.0,119.0,0.1,,2024-04-15 15:00:00
256,,PL-UA,B17-------,16:00-17:00,191.0,387.0,191.0,0.1,,2024-04-15 16:00:00
257,,PL-UA,B18-------,17:00-18:00,228.0,461.0,228.0,0.1,,2024-04-15 17:00:00
258,,PL-UA,B19-------,18:00-19:00,255.0,515.0,255.0,0.1,,2024-04-15 18:00:00
259,,PL-UA,B20-------,19:00-20:00,0.0,0.0,0.0,0.0,,2024-04-15 19:00:00
260,,PL-UA,B21-------,20:00-21:00,0.0,0.0,0.0,0.0,,2024-04-15 20:00:00
261,,PL-UA,B22-------,21:00-22:00,0.0,0.0,0.0,0.0,,2024-04-15 21:00:00
